operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;nivel_educativo;personas_a_cargo
15_a_30;2k_a_4k;3k_a_5k;2y_a_4y;15p_a_20p;50k_a_100k;40_a_60;NA;menor_25;35000;3;ALQUILER;PERSONAL;Y;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;5_a_10;menor_25;1000;2;PROPIA;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;3.0
15_a_30;2k_a_4k;3k_a_5k;2y_a_4y;15p_a_20p;50k_a_100k;40_a_60;5_a_10;menor_25;35000;2;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
15_a_30;2k_a_4k;5k_a_10k;mayor_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;35000;4;ALQUILER;SALUD;Y;ACTIVO;M;DESCONOCIDO;1.0
15_a_30;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;hasta_20k;20_a_40;menor_10;menor_25;2500;2;PROPIA;INVERSIONES;N;ACTIVO;F;SECUNDARIO_COMPLETO;4.0
15_a_30;menor_1k;3k_a_5k;menor_2y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;25_a_30;35000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;3.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;35000;4;ALQUILER;SALUD;N;ACTIVO;M;DESCONOCIDO;4.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;35000;2;ALQUILER;PERSONAL;N;ACTIVO;M;SECUNDARIO_COMPLETO;0.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;5_a_10;menor_25;1600;3;PROPIA;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;3.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;35000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;hasta_20k;40_a_60;menor_10;menor_25;4500;2;PROPIA;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;5.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;menor_10;menor_25;35000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;1.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;15p_a_20p;mayor_100k;20_a_40;5_a_10;25_a_30;35000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;mayor_100k;20_a_40;menor_10;menor_25;35000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;2.0
15_a_30;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;mayor_100k;hasta_20;5_a_10;menor_25;30000;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;DESCONOCIDO;4.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;mayor_100k;20_a_40;menor_10;menor_25;35000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;POSGRADO_INCOMPLETO;4.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;mayor_20p;50k_a_100k;20_a_40;5_a_10;menor_25;35000;4;ALQUILER;SALUD;N;ACTIVO;M;DESCONOCIDO;3.0
30_a_50;2k_a_4k;3k_a_5k;mayor_4y;15p_a_20p;mayor_100k;20_a_40;5_a_10;menor_25;35000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;SECUNDARIO_COMPLETO;1.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;5_a_10;menor_25;1750;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;2.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;mayor_100k;20_a_40;menor_10;25_a_30;35000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;POSGRADO_COMPLETO;1.0
15_a_30;menor_1k;menor_3k;mayor_4y;15p_a_20p;mayor_100k;20_a_40;5_a_10;25_a_30;34800;2;ALQUILER;PERSONAL;Y;PASIVO;F;UNIVERSITARIO_COMPLETO;0.0
15_a_30;menor_1k;3k_a_5k;2y_a_4y;15p_a_20p;50k_a_100k;40_a_60;5_a_10;menor_25;34000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;3.0
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;menor_10;menor_25;1500;3;PROPIA;PERSONAL;N;ACTIVO;F;DESCONOCIDO;4.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;menor_10;menor_25;33950;4;ALQUILER;PERSONAL;Y;ACTIVO;M;DESCONOCIDO;2.0
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;33000;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0
15_a_30;2k_a_4k;menor_3k;2y_a_4y;15p_a_20p;hasta_20k;40_a_60;menor_10;menor_25;4575;3;HIPOTECA;INVERSIONES;Y;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;menor_10;menor_25;1400;3;PROPIA;PERSONAL;N;ACTIVO;M;SECUNDARIO_COMPLETO;1.0
30_a_50;2k_a_4k;mayor_10k;mayor_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;32500;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;DESCONOCIDO;1.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;hasta_20k;20_a_40;5_a_10;menor_25;4000;2;OTROS;EDUCACIÓN;Y;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;1.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;hasta_20k;hasta_20;5_a_10;menor_25;2000;3;PROPIA;SALUD;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;hasta_7p;mayor_100k;20_a_40;menor_10;25_a_30;32000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;SECUNDARIO_COMPLETO;4.0
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;5_a_10;25_a_30;31050;3;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;DESCONOCIDO;3.0
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;mayor_100k;hasta_20;menor_10;25_a_30;24250;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;mayor_100k;hasta_20;mayor_10;25_a_30;7800;4;HIPOTECA;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;4.0
15_a_30;2k_a_4k;mayor_10k;mayor_4y;7p_a_15p;hasta_20k;20_a_40;5_a_10;menor_25;2500;4;PROPIA;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;15p_a_20p;20k_a_50k;mayor_60;menor_10;menor_25;30000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0
15_a_30;menor_1k;5k_a_10k;mayor_4y;7p_a_15p;50k_a_100k;40_a_60;5_a_10;menor_25;30000;3;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;POSGRADO_COMPLETO;0.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;15p_a_20p;50k_a_100k;40_a_60;5_a_10;25_a_30;30000;4;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;SECUNDARIO_COMPLETO;3.0
15_a_30;menor_1k;mayor_10k;2y_a_4y;;50k_a_100k;40_a_60;menor_10;menor_25;30000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;SECUNDARIO_COMPLETO;4.0
15_a_30;2k_a_4k;3k_a_5k;mayor_4y;15p_a_20p;50k_a_100k;40_a_60;5_a_10;25_a_30;30000;2;ALQUILER;SALUD;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0
